country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop,Tot Death/1M pop,Total tests,Tests/1M pop
World,"3,497,910","+16,561","244,975",+312,"1,126,707","2,126,228","50,843",449,31.4,,
USA,"1,160,840",+66,"67,448 ",+4,"173,725","919,667","16,475","3,507",204,"6,931,132","20,940"
Spain,"245,567",,"25,100 ",,"146,233","74,234","2,386","5,252",537,"1,528,833","32,699"
Italy,"209,328",,"28,710 ",,"79,914","100,704","1,539","3,462",475,"2,108,837","34,879"
UK,"182,260",,"28,131 ",,N/A,"153,785","1,559","2,685",414,"1,129,907","16,644"
France,"168,396",,"24,760 ",,"50,562","93,074","3,827","2,580",379,"1,100,228","16,856"
Germany,"164,967",,"6,812 ",,"130,600","27,555","2,105","1,969",81,"2,547,052","30,400"
Russia,"134,687","+10,633","1,280 ",+58,"16,639","116,768","2,300",923,9,"4,100,000","28,095"
Turkey,"124,375",,"3,336 ",,"58,259","62,780","1,445","1,475",40,"1,111,366","13,177"
Brazil,"97,100",+541,"6,761 ",+11,"40,937","49,402","8,318",457,32,"339,552","1,597"
Iran,"96,448",,"6,156 ",,"77,350","12,942","2,787","1,148",73,"484,541","5,769"
Canada,"56,714",,"3,566 ",,"23,801","29,347",557,"1,503",94,"832,222","22,050"
Belgium,"49,906",+389,"7,844 ",+79,"12,309","29,753",674,"4,306",677,"266,752","23,016"
Peru,"42,534",,"1,200 ",,"12,434","28,900",671,"1,290",36,"355,604","10,785"
Netherlands,"40,236",,"4,987 ",,N/A,"34,999",708,"2,348",291,"225,899","13,184"
India,"39,980",+281,"1,323 ",,"10,819","27,838",,29,1.0,"1,046,450",758
Switzerland,"29,817",,"1,762 ",,"24,200","3,855",141,"3,445",204,"276,000","31,890"
Ecuador,"27,464",,"1,371 ",,"2,132","23,961",149,"1,557",78,"73,929","4,190"
Saudi Arabia,"25,459",,176 ,,"3,765","21,518",139,731,5,"339,775","9,760"
Portugal,"25,190",,"1,023 ",,"1,671","22,496",150,"2,470",100,"426,836","41,860"
Mexico,"22,088","+1,349","2,061 ",+89,"13,447","6,580",378,171,16,"91,188",707
Sweden,"22,082",,"2,669 ",,"1,005","18,408",531,"2,186",264,"119,500","11,833"
Ireland,"21,176",,"1,286 ",,"13,386","6,504",99,"4,289",260,"169,377","34,302"
Pakistan,"19,103",+81,440 ,+3,"4,817","13,846",111,86,2,"203,025",919
Chile,"18,435",,247 ,,"9,572","8,616",425,964,13,"199,400","10,431"
Singapore,"18,205",+657,17 ,,"1,347","16,841",24,"3,112",3,"143,919","24,600"
Israel,"16,193",+8,230 ,+1,"9,634","6,329",103,"1,871",27,"397,046","45,872"
Belarus,"15,828",,97 ,,"3,117","12,614",92,"1,675",10,"195,430","20,682"
Austria,"15,597",+39,598 ,+2,"13,228","1,771",114,"1,732",66,"274,355","30,462"
Qatar,"14,872",,12 ,,"1,534","13,326",72,"5,162",4,"101,728","35,309"
Japan,"14,571",,474 ,,"3,205","10,892",324,115,4,"181,527","1,435"
UAE,"13,599",,119 ,,"2,664","10,816",1,"1,375",12,"1,200,000","121,330"
Poland,"13,375",,664 ,,"3,762","8,949",160,353,18,"366,013","9,671"
Romania,"12,732",,780 ,+9,"4,547","7,405",265,662,41,"190,540","9,905"
Ukraine,"11,913",+502,288 ,+9,"1,548","10,077",158,272,7,"129,723","2,966"
Indonesia,"11,192",+349,845 ,+14,"1,876","8,471",,41,3,"112,965",413
S. Korea,"10,793",+13,250 ,,"9,183","1,360",55,211,5,"630,973","12,307"
Denmark,"9,407",,475 ,,"6,889","2,043",60,"1,624",82,"221,912","38,312"
Serbia,"9,362",,189 ,,"1,426","7,747",57,"1,071",22,"96,637","11,060"
Philippines,"9,223",+295,607 ,+4,"1,214","7,402",31,84,6,"115,287","1,052"
Bangladesh,"8,790",,175 ,,177,"8,438",1,53,1,"76,066",462
Norway,"7,809",,211 ,,32,"7,566",37,"1,440",39,"172,586","31,835"
Czechia,"7,755",,245 ,,"3,471","4,039",62,724,23,"257,678","24,062"
Dominican Republic,"7,578",,326 ,,"1,481","5,771",144,699,30,"30,102","2,775"
Colombia,"7,285",,324 ,,"1,666","5,295",118,143,6,"114,602","2,252"
Panama,"7,090",+370,197 ,+5,641,"6,252",85,"1,643",46,"31,895","7,392"
Australia,"6,799",+18,95 ,+2,"5,814",890,29,267,4,"630,681","24,733"
South Africa,"6,336",,123 ,,"2,549","3,664",36,107,2,"230,686","3,890"
Malaysia,"6,298",+122,105 ,+2,"4,413","1,780",27,195,3,"184,213","5,692"
Egypt,"6,193",,415 ,,"1,522","4,256",,61,4,"90,000",879
Finland,"5,176",,220 ,,"3,000","1,956",52,934,40,"101,800","18,373"
Morocco,"4,729",,173 ,,"1,256","3,300",1,128,5,"39,367","1,067"
Argentina,"4,681",,237  ,,"1,320","3,124",157,104,5,"63,866","1,413"
Kuwait,"4,619",,33 ,,"1,703","2,883",69,"1,082",8,"179,000","41,915"
Algeria,"4,295",,459 ,,"1,872","1,964",22,98,10,"6,500",148
Moldova,"4,052",,124 ,,"1,334","2,594",237,"1,004",31,"11,763","2,916"
Kazakhstan,"3,857",,25 ,,995,"2,837",41,205,1,"282,862","15,065"
Luxembourg,"3,812",,92 ,,"3,318",402,23,"6,090",147,"47,460","75,817"
Bahrain,"3,284",,8 ,,"1,568","1,708",1,"1,930",5,"139,354","81,897"
Hungary,"2,998",+56,340 ,+5,629,"2,029",51,310,35,"82,010","8,489"
Thailand,"2,969",+3,54 ,,"2,739",176,61,43,0.8,"178,083","2,551"
Greece,"2,620",,143 ,,"1,374","1,103",37,251,14,"78,207","7,503"
Oman,"2,568",+85,12 ,,750,"1,806",17,503,2,"40,459","7,923"
Afghanistan,"2,469",,72 ,,331,"2,066",7,63,2,"11,068",284
Nigeria,"2,388",,85 ,,385,"1,918",2,12,0.4,"16,588",80
Armenia,"2,386",+113,35 ,+2,"1,035","1,316",10,805,12,"24,177","8,159"
Iraq,"2,219",,95 ,,"1,473",651,,55,2,"98,253","2,443"
Ghana,"2,169",,18 ,,229,"1,922",4,70,0.6,"117,049","3,767"
Uzbekistan,"2,127",+9,9 ,,"1,271",847,8,64,0.3,"242,536","7,247"
Croatia,"2,088",,77 ,,"1,463",548,17,509,19,"37,557","9,148"
Cameroon,"2,077",,64 ,,953,"1,060",12,78,2,,
Azerbaijan,"1,894",,25 ,,"1,411",458,17,187,2,"152,597","15,050"
Bosnia and Herzegovina,"1,839",,72 ,,779,988,4,561,22,"32,783","9,992"
Iceland,"1,798",,10 ,,"1,706",82,,"5,269",29,"50,002","146,529"
Estonia,"1,700",+1,55 ,+2,259,"1,386",7,"1,282",41,"55,206","41,617"
Bulgaria,"1,611",+17,72 ,,308,"1,231",40,232,10,"47,636","6,856"
Cuba,"1,611",,66 ,,765,780,10,142,6,"51,506","4,547"
Guinea,"1,586",,7 ,,405,"1,174",,121,0.5,,
North Macedonia,"1,506",,82 ,,852,572,21,723,39,"16,997","8,158"
New Zealand,"1,487",+2,20 ,,"1,266",201,,308,4,"150,223","31,152"
Bolivia,"1,470",+241,71 ,+5,159,"1,240",3,126,6,"5,791",496
Slovenia,"1,439",,96 ,+2,241,"1,102",21,692,46,"55,520","26,706"
Lithuania,"1,410",+4,46 ,,635,729,17,518,17,"141,678","52,044"
Slovakia,"1,408",+1,24 ,,619,765,7,258,4,"96,220","17,624"
Ivory Coast,"1,362",,15 ,,622,725,,52,0.6,"10,508",398
Senegal,"1,115",,9 ,,368,738,4,67,0.5,466,28
Djibouti,"1,112",,2 ,,686,424,,"1,126",2,"13,856","14,024"
Hong Kong,"1,040",,4 ,,879,157,3,139,0.5,"154,989","20,674"
Honduras,"1,010",+111,76 ,+1,116,818,10,102,8,"4,669",471
Tunisia,"1,009",,42 ,,323,644,25,85,4,"24,055","2,035"
Latvia,879,+8,16 ,,348,515,4,466,8,"64,245","34,061"
Cyprus,864,,15 ,,296,553,15,716,12,"62,267","51,573"
Kyrgyzstan,795,+26,10 ,+2,564,221,12,122,2,"51,472","7,889"
Albania,789,,31 ,,519,239,4,274,11,"8,669","3,012"
Andorra,747,,44 ,,472,231,17,"9,668",569,"1,673","21,653"
Niger,736,,35 ,,507,194,,30,1,"5,271",218
Lebanon,733,,25 ,,197,511,43,107,4,"37,880","5,550"
Costa Rica,733,,6 ,,372,355,6,144,1,"13,632","2,676"
Diamond Princess,712,,13 ,,645,54,4,,,,
Sri Lanka,705,+3,7 ,,182,516,1,33,0.3,"25,206","1,177"
Guatemala,688,+44,17 ,+1,72,599,5,38,0.9,"7,200",402
DRC,674,,33 ,,75,566,,8,0.4,,
Somalia,671,,31 ,,34,606,2,42,2,,
Burkina Faso,652,,44 ,,535,73,,31,2,,
Uruguay,652,,17 ,,440,195,10,188,5,"21,164","6,093"
Sudan,592,,41 ,,52,499,,14,0.9,,
Georgia,589,+7,8 ,,215,366,6,148,2,"15,904","3,987"
San Marino,580,,41 ,,83,456,5,"17,094","1,208","2,397","70,643"
Mali,544,,26 ,,206,312,,27,1,"2,172",107
Channel Islands,543,,41 ,,406,96,,"3,123",236,"5,342","30,725"
Mayotte,539,,4 ,,235,300,4,"1,976",15,"3,000","10,996"
Maldives,519,,1 ,,18,500,2,960,2,"8,008","14,815"
El Salvador,490,+44,11 ,,154,325,3,76,2,"28,596","4,409"
Tanzania,480,,16 ,,167,297,7,8,0.3,,
Malta,468,,4 ,,379,85,1,"1,060",9,"35,117","79,532"
Jamaica,463,+31,8 ,,33,422,2,156,3,"5,215","1,761"
Jordan,460,,9 ,,367,84,5,45,0.9,"82,092","8,046"
Kenya,435,,22 ,,152,261,2,8,0.4,"21,702",404
Taiwan,432,,6 ,,332,94,,18,0.3,"64,094","2,691"
Réunion,423,, ,,300,123,2,472,,,
Paraguay,370,+37,10 ,,119,241,5,52,1,"10,766","1,509"
Palestine,353,,2 ,,76,275,,69,0.4,"32,200","6,312"
Venezuela,345,,10 ,,148,187,2,12,0.4,"477,790","16,802"
Gabon,335,,5 ,,85,245,1,151,2,724,325
Mauritius,332,,10 ,,314,8,3,261,8,"16,028","12,603"
Montenegro,322,,8 ,,249,65,2,513,13,"6,864","10,929"
Isle of Man,320,,22 ,,271,27,21,"3,763",259,"3,242","38,126"
Equatorial Guinea,315,,1 ,,9,305,,225,0.7,854,609
Vietnam,270,, ,,219,51,8,3,,"261,004","2,681"
Guinea-Bissau,257,,1 ,,19,237,,131,0.5,"1,500",762
Rwanda,255,, ,,120,135,,20,,"33,303","2,571"
Congo,229,,9 ,,25,195,,41,2,,
Faeroe Islands,187,, ,,185,2,,"3,827",,"8,066","165,074"
Martinique,179,,14 ,,83,82,5,477,37,,
Sierra Leone,155,,8 ,,21,126,,19,1,,
Liberia,154,,18 ,,48,88,,30,4,,
Guadeloupe,152,,12 ,,95,45,6,380,30,,
Cabo Verde,152,,2 ,,18,132,,273,4,791,"1,423"
Myanmar,151,,6 ,,37,108,,3,0.1,"8,460",155
Gibraltar,144,, ,,132,12,,"4,274",,"2,711","80,467"
Brunei ,138,,1 ,,126,11,2,315,2,"13,924","31,828"
Ethiopia,135,+2,3 ,,75,57,,1,0.03,"22,330",194
Madagascar,135,, ,,97,38,1,5,,"3,393",123
French Guiana,128,,1 ,,98,29,2,429,3,,
Togo,123,,9 ,,66,48,,15,1,"7,100",858
Cambodia,122,, ,,120,2,1,7,,"12,304",736
Zambia,119,,3 ,,75,41,1,6,0.2,"5,284",287
Chad,117,,10 ,,39,68,,7,0.6,,
Trinidad and Tobago,116,,8 ,,88,20,,83,6,"1,907","1,363"
Bermuda,114,,7 ,,51,56,4,"1,831",112,"2,819","45,265"
Eswatini,108,,1 ,,12,95,,93,0.9,714,615
Aruba,100,,2 ,,81,17,4,937,19,"1,731","16,213"
Monaco,95,,4 ,,78,13,1,"2,421",102,,
Benin,90,,2 ,,42,46,,7,0.2,,
Uganda,88,, ,,52,36,,2,,"36,302",794
Haiti,85,,8 ,,10,67,,7,0.7,848,74
Bahamas,83,,11 ,,24,48,1,211,28,"1,353","3,441"
Guyana,82,,9 ,,22,51,2,104,11,579,736
Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,605"
Barbados,81,,7 ,,44,30,4,282,24,"2,369","8,244"
Mozambique,79,, ,,18,61,,3,,"2,337",75
Sint Maarten,76,,13 ,,44,19,7,"1,773",303,329,"7,673"
Tajikistan,76,,2 ,,,74,,8,0.2,,
Cayman Islands,74,,1 ,,10,63,3,"1,126",15,"1,927","29,320"
CAR,72,, ,,10,62,,15,,,
Libya,63,,3 ,,22,38,,9,0.4,"2,155",314
Nepal,59,, ,,16,43,,2,,"61,627","2,115"
French Polynesia,58,, ,,51,7,1,206,,"2,634","9,377"
South Sudan,46,+1, ,,,46,,4,,"1,247",111
Macao,45,, ,,37,8,1,69,,,
Syria,44,,3 ,,27,14,,3,0.2,,
Eritrea,39,, ,,26,13,,11,,,
Mongolia,39,, ,,10,29,,12,,"8,250","2,517"
Malawi,38,,3 ,,9,26,1,2,0.2,831,43
Saint Martin,38,,3 ,,27,8,3,983,78,,
Angola,35,,2 ,,11,22,,1,0.06,481,15
Zimbabwe,34,,4 ,,5,25,,2,0.3,"7,642",514
Antigua and Barbuda,25,,3 ,,15,7,1,255,31,151,"1,542"
Timor-Leste,24,, ,,16,8,,18,,322,244
Botswana,23,,1 ,,8,14,,10,0.4,"7,675","3,264"
Grenada,21,, ,,13,8,4,187,,"1,406","12,495"
Laos,19,, ,,9,10,,3,,"2,184",300
Belize,18,,2 ,,13,3,1,45,5,"1,043","2,623"
Fiji,18,, ,,14,4,,20,,"1,007","1,123"
New Caledonia,18,, ,,17,1,1,63,,"4,947","17,328"
Gambia,17,,1 ,,9,7,,7,0.4,401,166
Saint Lucia,17,, ,,15,2,,93,,446,"2,429"
Curaçao,16,,1 ,,13,2,,98,6,351,"2,139"
Sao Tome and Principe,16,,1 ,,4,11,,73,5,19,87
Dominica,16,, ,,13,3,,222,,383,"5,320"
Namibia,16,, ,,8,8,,6,,704,277
St. Vincent Grenadines,16,, ,,8,8,,144,,108,973
Burundi,15,,1 ,,7,7,,1,0.08,284,24
Saint Kitts and Nevis,15,, ,,8,7,,282,,294,"5,526"
Nicaragua,14,,3 ,,7,4,,2,0.5,,
Falkland Islands,13,, ,,13,0,,"3,736",,388,"111,494"
Turks and Caicos,12,,1 ,,5,6,,310,26,83,"2,144"
Montserrat,11,,1 ,,7,3,1,"2,204",200,36,"7,212"
Greenland,11,, ,,11,0,,194,,"1,271","22,389"
Vatican City,11,, ,,2,9,,"13,733",,,
Seychelles,11,, ,,6,5,,112,,,
Yemen,10,,2 ,,1,7,,0.3,0.07,120,4
Suriname,10,,1 ,,8,1,,17,2,404,689
MS Zaandam,9,,2 ,,,7,,,,,
Mauritania,8,,1 ,,6,1,,2,0.2,"1,032",222
Papua New Guinea,8,, ,,,8,,0.9,,604,68
Bhutan,7,, ,,5,2,,9,,"10,761","13,946"
British Virgin Islands,6,,1 ,,3,2,,198,33,,
Caribbean Netherlands,6,, ,,,6,,229,,110,"4,195"
St. Barth,6,, ,,6,0,,607,,,
Western Sahara,6,, ,,5,1,,10,,,
Anguilla,3,, ,,3,0,,200,,,
Comoros,3,, ,,,3,,3,,,
Saint Pierre Miquelon,1,, ,,,1,,173,,,
China,"82,877",+2,"4,633 ",,"77,713",531,34,58,3,,
